Campaign,Asset Group,Status,Campaign Type,Sub Type,Networks,Search Partners,Display Network,Targeting,Ad Schedule,Budget,Labels,Campaign Bid Strategy Type,Asset Group Bid Strategy Type,Asset Group Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC,EU Political Content,Keywords,Geographic Targeting,City Targeting,ZIP Code Targeting,Regional Targeting,Service Category,Priority Level,Conversion Actions,Ad Group Labels
wrights_broward_county_search,fort_lauderdale_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows fort lauderdale near me","Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Impact Windows,High,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Windows|High Value
wrights_broward_county_search,pompano_beach_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows pompano beach near me","Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077","Broward County, FL",Impact Windows,High,Website Quotes + Phone Calls,Broward|Pompano Beach|Windows|High Value
wrights_broward_county_search,hollywood_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows hollywood near me","Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084","Broward County, FL",Impact Windows,High,Website Quotes + Phone Calls,Broward|Hollywood|Windows|High Value
wrights_broward_county_search,coral_springs_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows coral springs near me","Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077","Broward County, FL",Impact Windows,High,Website Quotes + Phone Calls,Broward|Coral Springs|Windows|High Value
wrights_broward_county_search,pembroke_pines_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows pembroke pines near me","Pembroke Pines, FL","Pembroke Pines, FL","33023,33024,33025,33026,33027,33028,33029,33082,33084","Broward County, FL",Impact Windows,High,Website Quotes + Phone Calls,Broward|Pembroke Pines|Windows|High Value
wrights_broward_county_search,miramar_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows miramar near me","Miramar, FL","Miramar, FL","33023,33025,33027,33029","Broward County, FL",Impact Windows,High,Website Quotes + Phone Calls,Broward|Miramar|Windows|High Value
wrights_broward_county_search,fort_lauderdale_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors fort lauderdale near me","Fort Lauderdale, FL","Fort Lauderdale, FL","33301,33304,33305,33308,33309,33311,33312,33315,33316,33317,33321,33322,33324,33326,33328,33334,33351","Broward County, FL",Impact Doors,High,Website Quotes + Phone Calls,Broward|Fort Lauderdale|Doors|Established
wrights_broward_county_search,pompano_beach_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors pompano beach near me","Pompano Beach, FL","Pompano Beach, FL","33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33071,33073,33074,33076,33077","Broward County, FL",Impact Doors,High,Website Quotes + Phone Calls,Broward|Pompano Beach|Doors|Established
wrights_broward_county_search,hollywood_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors hollywood near me","Hollywood, FL","Hollywood, FL","33004,33009,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33081,33083,33084","Broward County, FL",Impact Doors,High,Website Quotes + Phone Calls,Broward|Hollywood|Doors|Established
wrights_broward_county_search,coral_springs_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,100.00,Broward County|High Priority,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors coral springs near me","Coral Springs, FL","Coral Springs, FL","33065,33067,33071,33073,33076,33077","Broward County, FL",Impact Doors,High,Website Quotes + Phone Calls,Broward|Coral Springs|Doors|Established
